,time,train4_converter_output_watertemp,train4_converter_temp,train4_converter_input_watertemp
131,2021/05/10 16:16:10,44,45,42
132,2021/05/10 16:27:00,44,45,42
133,2021/05/10 16:53:40,42,46,41
134,2021/05/10 16:55:00,42,46,41
135,2021/05/10 16:59:50,41,46,40
136,2021/05/10 17:09:00,41,46,40
137,2021/05/10 17:26:50,44,45,42
138,2021/05/10 18:02:40,41,45,40
139,2021/05/10 18:19:30,39,45,38
140,2021/05/10 18:37:50,37,43,36
141,2021/05/10 18:40:20,36,43,36
142,2021/05/10 18:48:50,35,42,35
143,2021/05/10 18:52:30,37,42,36
144,2021/05/10 18:53:00,37,42,36
145,2021/05/10 18:53:40,37,42,36
146,2021/05/10 18:54:00,37,42,36
147,2021/05/10 19:00:50,37,41,36
148,2021/05/10 19:03:00,37,41,36
149,2021/05/10 19:20:10,37,41,36
150,2021/05/10 19:46:30,37,41,36
151,2021/05/10 19:50:00,36,41,35
152,2021/05/10 19:52:40,35,40,34
153,2021/05/10 20:07:50,36,40,35
154,2021/05/10 20:16:30,37,40,36
155,2021/05/10 20:17:00,37,40,36
156,2021/05/10 20:20:40,36,40,35
157,2021/05/10 20:47:00,34,38,33
158,2021/05/10 20:55:30,36,39,35
159,2021/05/10 21:11:20,34,38,33
160,2021/05/10 21:27:00,36,38,34
161,2021/05/10 21:28:00,36,38,35
162,2021/05/10 21:28:20,36,38,35
163,2021/05/10 21:29:30,36,38,35
164,2021/05/10 21:32:50,34,38,33
165,2021/05/10 21:35:10,36,38,35
166,2021/05/10 21:39:50,36,38,34
167,2021/05/10 21:43:00,35,38,34
168,2021/05/10 21:56:20,33,38,32
169,2021/05/10 22:08:00,34,38,33
170,2021/05/10 22:14:40,32,37,32
171,2021/05/10 22:19:30,32,37,32
172,2021/05/10 22:21:20,32,37,32
173,2021/05/10 22:22:30,32,37,32
174,2021/05/10 22:27:00,32,37,32
175,2021/05/10 22:34:10,32,36,32
176,2021/05/10 22:41:10,33,36,33
177,2021/05/10 22:56:40,32,36,32
178,2021/05/10 23:03:40,32,36,32
179,2021/05/10 23:04:30,32,36,32
180,2021/05/10 23:04:50,32,36,32
181,2021/05/10 23:07:10,32,36,31
182,2021/05/10 23:07:20,32,36,31
183,2021/05/10 23:07:30,31,36,31
184,2021/05/10 23:08:10,31,36,31
185,2021/05/10 23:08:40,31,36,31
186,2021/05/10 23:09:10,31,36,31
187,2021/05/10 23:10:00,31,36,31
188,2021/05/10 23:13:20,31,35,31
189,2021/05/10 23:13:40,31,35,30
190,2021/05/10 23:14:30,31,35,30
191,2021/05/10 23:15:10,31,35,31
192,2021/05/10 23:15:20,31,35,30
193,2021/05/10 23:15:40,31,35,30
194,2021/05/10 23:16:20,31,35,30
195,2021/05/10 23:17:10,31,35,30
196,2021/05/10 23:17:30,31,35,30
197,2021/05/10 23:17:40,31,35,30
198,2021/05/10 23:18:10,31,35,30
199,2021/05/10 23:18:40,31,35,30
200,2021/05/10 23:19:20,31,35,30
201,2021/05/10 23:20:20,31,35,30
202,2021/05/10 23:20:50,31,35,30
203,2021/05/10 23:21:10,31,35,30
204,2021/05/10 23:21:30,31,35,30
205,2021/05/10 23:21:50,31,35,30
206,2021/05/10 23:22:00,31,35,30
207,2021/05/10 23:22:10,31,35,30
208,2021/05/10 23:23:00,31,35,30
209,2021/05/10 23:23:50,31,35,30
210,2021/05/10 23:24:00,31,35,30
211,2021/05/10 23:24:50,31,35,31
212,2021/05/10 23:25:10,31,35,31
213,2021/05/10 23:26:40,31,35,31
214,2021/05/10 23:27:50,31,35,31
215,2021/05/10 23:28:00,31,35,31
216,2021/05/10 23:28:30,31,35,31
217,2021/05/10 23:30:20,31,35,31
218,2021/05/10 23:30:40,31,35,31
219,2021/05/10 23:31:20,31,35,31
220,2021/05/10 23:31:50,31,35,31
221,2021/05/10 23:32:20,31,35,31
222,2021/05/10 23:32:40,31,35,31
223,2021/05/10 23:33:20,31,35,31
224,2021/05/10 23:34:00,31,35,31
225,2021/05/10 23:35:10,31,35,31
226,2021/05/10 23:36:30,31,35,30
227,2021/05/10 23:37:10,31,35,30
228,2021/05/10 23:38:10,31,35,30
229,2021/05/10 23:39:00,31,35,30
230,2021/05/10 23:39:30,31,35,30
231,2021/05/10 23:40:40,30,35,30
232,2021/05/10 23:41:10,31,35,30
233,2021/05/10 23:41:20,31,35,30
234,2021/05/10 23:41:30,31,35,30
235,2021/05/10 23:42:20,30,35,30
236,2021/05/10 23:42:30,30,35,30
237,2021/05/10 23:42:50,30,35,30
238,2021/05/10 23:44:10,30,35,30
239,2021/05/10 23:44:30,30,35,30
240,2021/05/10 23:44:40,30,35,30
241,2021/05/10 23:45:00,30,35,30
242,2021/05/10 23:46:30,30,35,30
243,2021/05/10 23:47:10,30,35,30
244,2021/05/10 23:48:30,30,35,30
245,2021/05/10 23:49:50,30,35,30
246,2021/05/10 23:50:50,30,34,30
247,2021/05/10 23:51:00,30,34,30
248,2021/05/10 23:52:40,30,34,30
249,2021/05/10 23:53:00,30,34,30
250,2021/05/10 23:53:20,30,34,30
251,2021/05/10 23:54:00,30,34,30
252,2021/05/10 23:54:30,30,34,30
253,2021/05/10 23:55:20,30,34,30
254,2021/05/10 23:55:40,30,34,30
255,2021/05/10 23:57:10,30,34,30
256,2021/05/10 23:57:30,30,34,30
257,2021/05/10 23:58:00,30,34,30
258,2021/05/10 23:59:00,30,34,30
